Price,Close,High,Low,Open,Volume
Ticker,NDX,NDX,NDX,NDX,NDX
Date,,,,,
2021-03-16,13152.2802734375,13152.2802734375,13152.2802734375,13152.2802734375,0
2021-03-17,13202.3798828125,13202.3798828125,13202.3798828125,13202.3798828125,0
2021-03-19,12866.990234375,12866.990234375,12866.990234375,12866.990234375,0
2021-03-22,13086.509765625,13086.509765625,13086.509765625,13086.509765625,0
2021-03-23,13017.7900390625,13017.7900390625,13017.7900390625,13017.7900390625,0
2021-03-24,12798.8798828125,12798.8798828125,12798.8798828125,12798.8798828125,0
2021-03-25,12780.509765625,12780.509765625,12780.509765625,12780.509765625,0
2021-03-26,12979.1201171875,12979.1201171875,12979.1201171875,12979.1201171875,0
2021-03-29,12965.740234375,12965.740234375,12965.740234375,12965.740234375,0
2021-03-30,12896.5302734375,12896.5302734375,12896.5302734375,12896.5302734375,0
2021-03-31,13091.4404296875,13091.4404296875,13091.4404296875,13091.4404296875,0
2021-04-05,13598.16015625,13598.16015625,13598.16015625,13598.16015625,0
2021-04-06,13578.4599609375,13578.4599609375,13578.4599609375,13578.4599609375,0
2021-04-07,13616.7001953125,13616.7001953125,13616.7001953125,13616.7001953125,0
2021-04-08,13758.509765625,13758.509765625,13758.509765625,13758.509765625,0
2021-04-09,13845.0498046875,13845.0498046875,13845.0498046875,13845.0498046875,0
2021-04-12,13819.349609375,13819.349609375,13819.349609375,13819.349609375,0
2021-04-13,13986.490234375,13986.490234375,13986.490234375,13986.490234375,0
2021-04-14,13803.91015625,13803.91015625,13803.91015625,13803.91015625,0
2021-04-15,14026.1904296875,14026.1904296875,14026.1904296875,14026.1904296875,0
2021-04-16,14041.91015625,14041.91015625,14041.91015625,14041.91015625,0
2021-04-19,13907.669921875,13907.669921875,13907.669921875,13907.669921875,0
2021-04-20,13809.2998046875,13809.2998046875,13809.2998046875,13809.2998046875,0
2021-04-21,13935.150390625,13935.150390625,13935.150390625,13935.150390625,0
2021-04-22,13762.3603515625,13762.3603515625,13762.3603515625,13762.3603515625,0
2021-04-23,13941.4404296875,13941.4404296875,13941.4404296875,13941.4404296875,0
2021-04-26,14026.16015625,14026.16015625,14026.16015625,14026.16015625,0
2021-04-27,13960.2802734375,13960.2802734375,13960.2802734375,13960.2802734375,0
2021-04-28,13901.6201171875,13901.6201171875,13901.6201171875,13901.6201171875,0
